봄이 좋냐?? ,  10cm 이 사랑 ,  다비치 You Are My Everything ,  거미 말해! 뭐해? ,  케이윌 사랑에 빠졌죠 (당신만이) ,  장범준 ALWAYS ,  윤미래 다시 너를 ,  매드클라운, 김나영 Everytime ,  첸 (CHEN), 펀치 (Punch) 넌 is 뭔들 ,  마마무 어디에도 ,  엠씨더맥스 시간을 달려서 (Rough) ,  여자친구 Toy ,  블락비 (Block B) How Can I Love You ,  XIA (준수) 너는 나 나는 너 ,  지코 (ZICO) 사랑하자 ,  SG 워너비 너도 (Feat. Cha Cha Malone) ,  로꼬 같은 곳에서 ,  소녀온탑 하늘바라기 (Feat. 하림) ,  정은지 한숨 ,  이하이 벚꽃 엔딩 ,  버스커 버스커 몇 년 후에 ,  블락비 (Block B) 그녀가 곁에 없다면 (결혼 행진곡을 활용한 신곡) ,  장범준 Yum-Yum (얌얌) ,  7 go up 봄인가 봐 (Spring Love) ,  에릭남, 웬디 그대, 바람이 되어 ,  엠씨더맥스 PICK ME ,  PRODUCE 101 잊어버리지마 (Feat. 태연) ,  Crush Boys And Girls (Feat. Babylon) ,  지코 (ZICO) With You ,  린 썸타 (Lil` Something) ,  첸 (CHEN), 헤이즈, 바이브 빗속으로 ,  장범준 OOH-AHH하게 ,  TWICE (트와이스) D (half moon) (Feat. 개코) ,  DEAN 오늘부터 우리는 (Me Gustas Tu) ,  여자친구 Rain ,  태연 야 하고 싶어 (Feat. 시우민 of EXO) ,  지민 (AOA) 또 다시 사랑 ,  임창정 Dream ,  수지, 백현 (BAEKHYUN) 봄 사랑 벚꽃 말고 ,  HIGH4 (하이포), 아이유 Fingertips ,  Pinkrush 걱정말아요 그대 ,  이적 유레카 (Feat. Zion.T) ,  지코 (ZICO) 손잡아 줘요 ,  이하이 봄비 ,  장범준 봄날의 기억 ,  비투비 Crush ,  아이오아이 (I.O.I) Bang Bang ,  Jessie J, Ariana Grande, Nicki Minaj CHEER UP ,  TWICE (트와이스) 소녀 ,  오혁 그댄 행복에 살텐데 ,  김범수 우연히 봄 ,  로꼬, 유주 (여자친구) 스토커 ,  10cm I Miss You ,  마마무 또 하루 (Feat. 개코) ,  개리 Don`t Cry (우리동네 음악대장) ,  우리 동네 음악대장 1cm의 자존심 ,  마마무 사랑에 빠져요 (금세 사랑에 빠지는) ,  장범준 센치해 ,  WINNER I`m Not The Only One ,  Sam Smith Love Yourself ,  Justin Bieber Good For You ,  에릭남 기대해도 좋은 날 ,  마마무 니가 하면 로맨스 (Feat. 다비치) ,  케이윌 Ah-Choo ,  러블리즈 우주를 건너 ,  백예린 사랑이었다 (Feat. 루나 of f(x)) ,  지코 (ZICO) 예쁘잖아 ,  기리보이 친구라도 될 걸 그랬어 ,  거미 아마도 그건 ,  Crush, 로꼬 Don`t Matter ,  화려강산 취향저격 ,  iKON I (Feat. 버벌진트) ,  태연 홍대와 건대 사이 ,  장범준 Okey Dokey ,  송민호, 지코 (ZICO) 이렇게 예뻤나 (YOU`RE SO FINE) ,  CNBLUE (씨엔블루) 공감 (Feat. 서영은) ,  정준영 Hello ,  Adele 스물셋 ,  아이유 No Make Up ,  Zion.T 꽃송이가 ,  버스커 버스커 어땠을까 ,  김나영 청춘 (Feat. 김창완) ,  김필 그녀가 웃었죠 ,  장범준 Walkin` In The Rain ,  블락비 (Block B) 심쿵해 (Heart Attack) ,  AOA 7월 7일 (One Of These Nights) ,  Red Velvet (레드벨벳) 여수 밤바다 ,  버스커 버스커 겁 (Feat. 태양) ,  송민호 제주도의 푸른 밤 ,  태연 떠나야만해 ,  장범준 24시간 ,  Make Some Noise 1년 365일 (Feat. 거미) ,  바이브 무지개 (Feat. 윤닭 Of 오브로젝트) ,  스탠딩 에그 사랑이었다 (Song By 태일) ,  블락비 (Block B) 하여가 (何如歌) (우리동네 음악대장) ,  우리 동네 음악대장 살아있네 ,  박진영 돌아오지마 (Feat. 용준형 Of 비스트) ,  헤이즈 회상 ,  장범준 MY STAR ,  이하이 함께 ,  노을 봄이 좋냐?? ,  10cm  
이 사랑 ,  다비치  
You Are My Everything ,  거미  
말해! 뭐해? ,  케이윌  
사랑에 빠졌죠 (당신만이) ,  장범준  
ALWAYS ,  윤미래  
다시 너를 ,  매드클라운, 김나영  
Everytime ,  첸 (CHEN), 펀치 (Punch)  
넌 is 뭔들 ,  마마무  
어디에도 ,  엠씨더맥스  
시간을 달려서 (Rough) ,  여자친구  
Toy ,  블락비 (Block B)  
How Can I Love You ,  XIA (준수)  
너는 나 나는 너 ,  지코 (ZICO)  
사랑하자 ,  SG 워너비  
너도 (Feat. Cha Cha Malone) ,  로꼬  
같은 곳에서 ,  소녀온탑  
하늘바라기 (Feat. 하림) ,  정은지  
한숨 ,  이하이  
벚꽃 엔딩 ,  버스커 버스커  
몇 년 후에 ,  블락비 (Block B)  
그녀가 곁에 없다면 (결혼 행진곡을 활용한 신곡) ,  장범준  
Yum-Yum (얌얌) ,  7 go up  
봄인가 봐 (Spring Love) ,  에릭남, 웬디  
그대, 바람이 되어 ,  엠씨더맥스  
PICK ME ,  PRODUCE 101  
잊어버리지마 (Feat. 태연) ,  Crush  
Boys And Girls (Feat. Babylon) ,  지코 (ZICO)  
With You ,  린  
썸타 (Lil` Something) ,  첸 (CHEN), 헤이즈, 바이브  
빗속으로 ,  장범준  
OOH-AHH하게 ,  TWICE (트와이스)  
D (half moon) (Feat. 개코) ,  DEAN  
오늘부터 우리는 (Me Gustas Tu) ,  여자친구  
Rain ,  태연  
야 하고 싶어 (Feat. 시우민 of EXO) ,  지민 (AOA)  
또 다시 사랑 ,  임창정  
Dream ,  수지, 백현 (BAEKHYUN)  
봄 사랑 벚꽃 말고 ,  HIGH4 (하이포), 아이유  
Fingertips ,  Pinkrush  
걱정말아요 그대 ,  이적  
유레카 (Feat. Zion.T) ,  지코 (ZICO)  
손잡아 줘요 ,  이하이  
봄비 ,  장범준  
봄날의 기억 ,  비투비  
Crush ,  아이오아이 (I.O.I)  
Bang Bang ,  Jessie J, Ariana Grande, Nicki Minaj  
CHEER UP ,  TWICE (트와이스)  
소녀 ,  오혁  
그댄 행복에 살텐데 ,  김범수  
우연히 봄 ,  로꼬, 유주 (여자친구)  
스토커 ,  10cm  
I Miss You ,  마마무  
또 하루 (Feat. 개코) ,  개리  
Don`t Cry (우리동네 음악대장) ,  우리 동네 음악대장  
1cm의 자존심 ,  마마무  
사랑에 빠져요 (금세 사랑에 빠지는) ,  장범준  
센치해 ,  WINNER  
I`m Not The Only One ,  Sam Smith  
Love Yourself ,  Justin Bieber  
Good For You ,  에릭남  
기대해도 좋은 날 ,  마마무  
니가 하면 로맨스 (Feat. 다비치) ,  케이윌  
Ah-Choo ,  러블리즈  
우주를 건너 ,  백예린  
사랑이었다 (Feat. 루나 of f(x)) ,  지코 (ZICO)  
예쁘잖아 ,  기리보이  
친구라도 될 걸 그랬어 ,  거미  
아마도 그건 ,  Crush, 로꼬  
Don`t Matter ,  화려강산  
취향저격 ,  iKON  
I (Feat. 버벌진트) ,  태연  
홍대와 건대 사이 ,  장범준  
Okey Dokey ,  송민호, 지코 (ZICO)  
이렇게 예뻤나 (YOU`RE SO FINE) ,  CNBLUE (씨엔블루)  
공감 (Feat. 서영은) ,  정준영  
Hello ,  Adele  
스물셋 ,  아이유  
No Make Up ,  Zion.T  
꽃송이가 ,  버스커 버스커  
어땠을까 ,  김나영  
청춘 (Feat. 김창완) ,  김필  
그녀가 웃었죠 ,  장범준  
Walkin` In The Rain ,  블락비 (Block B)  
심쿵해 (Heart Attack) ,  AOA  
7월 7일 (One Of These Nights) ,  Red Velvet (레드벨벳)  
여수 밤바다 ,  버스커 버스커  
겁 (Feat. 태양) ,  송민호  
제주도의 푸른 밤 ,  태연  
떠나야만해 ,  장범준  
24시간 ,  Make Some Noise  
1년 365일 (Feat. 거미) ,  바이브  
무지개 (Feat. 윤닭 Of 오브로젝트) ,  스탠딩 에그  
사랑이었다 (Song By 태일) ,  블락비 (Block B)  
하여가 (何如歌) (우리동네 음악대장) ,  우리 동네 음악대장  
살아있네 ,  박진영  
